questionId,chapterId,subjectId,unitId,question,optionA,optionB,optionC,optionD,correctOption,explanation,qImage,optionAImage,optionBImage,optionCImage,optionDImage,explanationImage
q001,ch_phy_01,physics,unit_phy_01,A body of mass 5kg is moving with velocity 10 m/s. What is its momentum?,50 kg m/s,2 kg m/s,15 kg m/s,0.5 kg m/s,A,Momentum = mass x velocity = 5 x 10 = 50 kg m/s,,,,,,
q002,ch_phy_01,physics,unit_phy_01,Newton's first law is also known as:,Law of Inertia,Law of Acceleration,Law of Action-Reaction,Law of Gravitation,A,Newton's first law states that a body remains at rest or in uniform motion unless acted upon by an external force. This is called the Law of Inertia.,,,,,,
q003,ch_phy_01,physics,unit_phy_01,Which force diagram is shown in the image?,Tension,Friction,Normal force,Gravity,C,The arrow perpendicular to surface represents normal force,https://firebasestorage.com/images/q003.png,,,,,https://firebasestorage.com/images/q003_exp.png
q004,ch_phy_02,physics,unit_phy_01,The SI unit of work is:,Watt,Joule,Newton,Pascal,B,Work = Force x Displacement. SI unit is Joule (J),,,,,,
q005,ch_phy_02,physics,unit_phy_01,Power is defined as:,Work x Time,Work / Time,Force x Time,Force / Time,B,Power is the rate of doing work. P = W/t,,,,,,
q006,ch_chem_01,chemistry,unit_chem_01,Which subatomic particle has no charge?,Proton,Electron,Neutron,Positron,C,Neutrons are electrically neutral particles found in the nucleus,,,,,,
q007,ch_chem_01,chemistry,unit_chem_01,The atomic number of an element is equal to:,Number of neutrons,Number of protons,Number of electrons + protons,Mass number,B,Atomic number (Z) = Number of protons in the nucleus,,,,,,
q008,ch_chem_02,chemistry,unit_chem_01,Identify the type of bond shown:,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,B,Sharing of electrons between atoms forms a covalent bond,https://firebasestorage.com/images/q008.png,,,,,
q009,ch_bio_01,biology,unit_bio_01,Which organelle is known as the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi body,C,Mitochondria produce ATP through cellular respiration,,,,,,
q010,ch_bio_01,biology,unit_bio_01,Identify the cell organelle shown in the image:,Mitochondria,Chloroplast,Endoplasmic Reticulum,Lysosome,A,This is the mitochondria with its characteristic double membrane and cristae,https://firebasestorage.com/images/q010.png,https://firebasestorage.com/images/q010_a.png,https://firebasestorage.com/images/q010_b.png,https://firebasestorage.com/images/q010_c.png,https://firebasestorage.com/images/q010_d.png,
q011,ch_bio_02,biology,unit_bio_01,During which phase of mitosis do chromosomes align at the cell equator?,Prophase,Metaphase,Anaphase,Telophase,B,In metaphase chromosomes line up at the metaphase plate (cell equator),,,,,,
q012,ch_bio_02,biology,unit_bio_01,The number of chromosomes is halved during:,Mitosis,Meiosis I,Meiosis II,Interphase,B,Meiosis I is the reduction division where chromosome number is halved,,,,,,
